Scenario,Trace,C1,B,S1,C2,S2,Policy,Prefetcher,R,AAT
L1_Only,gcc,14,5,1,0,0,none,none,0,4.601
L1_Only,gcc,14,5,2,0,0,none,none,0,4.306
L1_Only,gcc,14,5,3,0,0,none,none,0,4.388
L1_Only,gcc,15,5,1,0,0,none,none,0,3.504
L1_Only,gcc,15,5,2,0,0,none,none,0,3.474
L1_Only,gcc,15,5,3,0,0,none,none,0,3.590
L1_Only,gcc,14,6,1,0,0,none,none,0,4.620
L1_Only,gcc,14,6,2,0,0,none,none,0,4.228
L1_Only,gcc,14,6,3,0,0,none,none,0,4.354
L1_Only,gcc,15,6,1,0,0,none,none,0,3.401
L1_Only,gcc,15,6,2,0,0,none,none,0,3.381
L1_Only,gcc,15,6,3,0,0,none,none,0,3.464
L1_Only,gcc,14,7,1,0,0,none,none,0,5.434
L1_Only,gcc,14,7,2,0,0,none,none,0,4.851
L1_Only,gcc,14,7,3,0,0,none,none,0,4.902
L1_Only,gcc,15,7,1,0,0,none,none,0,3.699
L1_Only,gcc,15,7,2,0,0,none,none,0,3.646
L1_Only,gcc,15,7,3,0,0,none,none,0,3.665
L1_L2_NoPF,gcc,14,5,1,16,1,mip,none,0,3.340
L1_L2_WithPF,gcc,14,5,1,16,1,mip,plus1,0,3.194
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,16,3.340
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,32,3.339
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,64,3.336
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,128,3.336
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,256,3.332
L1_L2_WithPF,gcc,14,5,1,16,1,mip,markov,512,3.330
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,16,3.192
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,32,3.190
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,64,3.185
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,128,3.186
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,256,3.179
L1_L2_WithPF,gcc,14,5,1,16,1,mip,hybrid,512,3.169
L1_L2_NoPF,gcc,14,5,1,16,1,lip,none,0,3.340
L1_L2_WithPF,gcc,14,5,1,16,1,lip,plus1,0,3.194
L1_L2_WithPF,gcc,14,5,1,16,1,lip,markov,16,3.340
L1_L2_WithPF,gcc,14,5,1,16,1,lip,markov,32,3.339
L1_L2_WithPF,gcc,14,5,1,16,1,lip,markov,64,3.336
